LECROYWS4104HD,19252,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,28-Nov-2024 18:55:41,0                 
Time,Ampl
2.3364987e-005,0.0293715
2.3365387e-005,0.0317243
2.3365787e-005,0.0129013
2.3366187e-005,0.0246657
2.3366587e-005,0.0246657
2.3366987e-005,0.0317243
2.3367387e-005,0.0246657
2.3367787e-005,0.0270186
2.3368187e-005,0.0223128
2.3368587e-005,0.0223128
2.3368987e-005,0.0246657
2.3369387e-005,0.0340772
2.3369787e-005,0.0246657
2.3370187e-005,0.0270186
2.3370587e-005,0.0317243
2.3370987e-005,0.0293715
2.3371387e-005,0.0317243
2.3371787e-005,0.0246657
2.3372187e-005,0.0317243
2.3372587e-005,0.0246657
2.3372987e-005,0.0176071
2.3373387e-005,0.0317243
2.3373787e-005,0.0270186
2.3374187e-005,0.0246657
2.3374587e-005,0.0270186
2.3374987e-005,0.0317243
2.3375387e-005,0.0293715
2.3375787e-005,0.0176071
2.3376187e-005,0.0340772
2.3376587e-005,0.0223128
2.3376987e-005,0.038783
2.3377387e-005,0.0293715
2.3377787e-005,0.0129013
2.3378187e-005,0.0199599
2.3378587e-005,0.0246657
2.3378987e-005,0.0270186
2.3379387e-005,0.0270186
2.3379787e-005,0.0434887
2.3380187e-005,0.0246657
2.3380587e-005,0.0270186
2.3380987e-005,0.0223128
2.3381387e-005,0.0246657
2.3381787e-005,0.0270186
2.3382187e-005,0.0246657
2.3382587e-005,0.0293715
2.3382987e-005,0.0270186
2.3383387e-005,0.038783
2.3383787e-005,0.0246657
2.3384187e-005,0.0293715
2.3384587e-005,0.0340772
2.3384987e-005,0.0270186
2.3385387e-005,0.0223128
2.3385787e-005,0.0293715
2.3386187e-005,0.0340772
2.3386587e-005,0.0199599
2.3386987e-005,0.0223128
2.3387387e-005,0.0176071
2.3387787e-005,0.0105484
2.3388187e-005,0.0364301
2.3388587e-005,0.00819555
2.3388987e-005,0.0129013
2.3389387e-005,0.0199599
2.3389787e-005,0.0223128
2.3390187e-005,0.0293715
2.3390587e-005,0.0270186
2.3390987e-005,0.0317243
2.3391387e-005,0.0270186
2.3391787e-005,0.0246657
2.3392187e-005,0.0199599
2.3392587e-005,0.0152542
2.3392987e-005,0.0246657
2.3393387e-005,0.0199599
2.3393787e-005,0.0270186
2.3394187e-005,0.0223128
2.3394587e-005,0.0246657
2.3394987e-005,0.0246657
2.3395387e-005,0.0223128
2.3395787e-005,0.0270186
2.3396187e-005,0.0270186
2.3396587e-005,0.0223128
2.3396987e-005,0.0246657
2.3397387e-005,0.0246657
2.3397787e-005,0.0293715
2.3398187e-005,0.0293715
2.3398587e-005,0.0199599
2.3398987e-005,0.0223128
2.3399387e-005,0.0223128
2.3399787e-005,0.0246657
2.3400187e-005,0.0176071
2.3400587e-005,0.0199599
2.3400987e-005,0.0293715
2.3401387e-005,0.0199599
2.3401787e-005,0.0246657
2.3402187e-005,0.0293715
2.3402587e-005,0.0199599
2.3402987e-005,0.0270186
2.3403387e-005,0.0223128
2.3403787e-005,0.0317243
2.3404187e-005,0.0199599
2.3404587e-005,0.0199599
2.3404987e-005,0.0176071
2.3405387e-005,0.0293715
2.3405787e-005,0.0246657
2.3406187e-005,0.0364301
2.3406587e-005,0.0223128
2.3406987e-005,0.0199599
2.3407387e-005,0.0199599
2.3407787e-005,0.0223128
2.3408187e-005,0.0246657
2.3408587e-005,0.0223128
2.3408987e-005,0.0270186
2.3409387e-005,0.0293715
2.3409787e-005,0.0223128
2.3410187e-005,0.0223128
2.3410587e-005,0.0317243
2.3410987e-005,0.0199599
2.3411387e-005,0.0199599
2.3411787e-005,0.0152542
2.3412187e-005,0.0223128
2.3412587e-005,0.0223128
2.3412987e-005,0.0199599
2.3413387e-005,0.0246657
2.3413787e-005,0.0246657
2.3414187e-005,0.0176071
2.3414587e-005,0.0199599
2.3414987e-005,0.0223128
2.3415387e-005,0.0270186
2.3415787e-005,0.0199599
2.3416187e-005,0.0176071
2.3416587e-005,0.0246657
2.3416987e-005,0.0199599
2.3417387e-005,0.0340772
2.3417787e-005,0.0199599
2.3418187e-005,0.0223128
2.3418587e-005,0.0246657
2.3418987e-005,0.0223128
2.3419387e-005,0.0270186
2.3419787e-005,0.0199599
2.3420187e-005,0.0246657
2.3420587e-005,0.0246657
2.3420987e-005,0.0246657
2.3421387e-005,0.0246657
2.3421787e-005,0.0199599
2.3422187e-005,0.00819555
2.3422587e-005,0.0223128
2.3422987e-005,0.0152542
2.3423387e-005,0.0293715
2.3423787e-005,0.0129013
2.3424187e-005,0.0317243
2.3424587e-005,0.0246657
2.3424987e-005,0.0340772
2.3425387e-005,0.0246657
2.3425787e-005,0.0246657
2.3426187e-005,0.0246657
2.3426587e-005,0.0199599
2.3426987e-005,0.0223128
2.3427387e-005,0.0246657
2.3427787e-005,0.0246657
2.3428187e-005,0.0270186
2.3428587e-005,0.0270186
2.3428987e-005,0.0223128
2.3429387e-005,0.0199599
2.3429787e-005,0.0246657
2.3430187e-005,0.0199599
2.3430587e-005,0.0293715
2.3430987e-005,0.0293715
2.3431387e-005,0.0340772
2.3431787e-005,0.0317243
2.3432187e-005,0.0129013
2.3432587e-005,0.0223128
2.3432987e-005,0.0270186
2.3433387e-005,0.0293715
2.3433787e-005,0.0293715
2.3434187e-005,0.0199599
2.3434587e-005,0.038783
2.3434987e-005,0.0223128
2.3435387e-005,0.0317243
2.3435787e-005,0.0317243
2.3436187e-005,0.0223128
2.3436587e-005,0.0223128
2.3436987e-005,0.0293715
2.3437387e-005,0.0293715
2.3437787e-005,0.0246657
2.3438187e-005,0.0293715
2.3438587e-005,0.0317243
2.3438987e-005,0.0199599
2.3439387e-005,0.0270186
2.3439787e-005,0.0176071
2.3440187e-005,0.00348979
2.3440587e-005,0.00819555
2.3440987e-005,0.0199599
2.3441387e-005,0.0199599
2.3441787e-005,0.00819555
2.3442187e-005,0.0270186
2.3442587e-005,0.0223128
2.3442987e-005,0.0270186
2.3443387e-005,0.0246657
2.3443787e-005,0.0270186
2.3444187e-005,0.0223128
2.3444587e-005,0.0199599
2.3444987e-005,0.0364301
2.3445387e-005,0.0223128
2.3445787e-005,0.00584267
2.3446187e-005,0.0176071
2.3446587e-005,0.0129013
2.3446987e-005,0.0270186
2.3447387e-005,0.0317243
2.3447787e-005,0.0176071
2.3448187e-005,0.0317243
2.3448587e-005,0.0246657
2.3448987e-005,0.0223128
2.3449387e-005,0.0199599
2.3449787e-005,0.0293715
2.3450187e-005,0.0246657
2.3450587e-005,0.0293715
2.3450987e-005,0.0199599
2.3451387e-005,0.0176071
2.3451787e-005,0.0223128
2.3452187e-005,0.0270186
2.3452587e-005,0.0129013
2.3452987e-005,0.0246657
2.3453387e-005,0.0199599
2.3453787e-005,0.0270186
2.3454187e-005,0.0270186
2.3454587e-005,0.0223128
2.3454987e-005,0.0293715
2.3455387e-005,0.0223128
2.3455787e-005,0.0293715
2.3456187e-005,0.0270186
2.3456587e-005,0.0293715
2.3456987e-005,0.0246657
2.3457387e-005,0.0223128
2.3457787e-005,0.0176071
2.3458187e-005,0.0246657
2.3458587e-005,0.0246657
2.3458987e-005,0.0223128
2.3459387e-005,0.0293715
2.3459787e-005,0.0223128
2.3460187e-005,0.0293715
2.3460587e-005,0.0246657
2.3460987e-005,0.0317243
2.3461387e-005,0.0317243
2.3461787e-005,0.0340772
2.3462187e-005,0.0199599
2.3462587e-005,0.0317243
2.3462987e-005,0.0317243
2.3463387e-005,0.0246657
2.3463787e-005,0.0129013
2.3464187e-005,0.0223128
2.3464587e-005,0.0223128
2.3464987e-005,0.0246657
2.3465387e-005,0.0176071
2.3465787e-005,0.0199599
2.3466187e-005,0.0246657
2.3466587e-005,0.0199599
2.3466987e-005,0.0246657
2.3467387e-005,0.0270186
2.3467787e-005,0.0317243
2.3468187e-005,0.0129013
2.3468587e-005,0.0270186
2.3468987e-005,0.0223128
2.3469387e-005,0.0176071
2.3469787e-005,0.0246657
2.3470187e-005,0.0152542
2.3470587e-005,0.0293715
2.3470987e-005,0.0105484
2.3471387e-005,0.0152542
2.3471787e-005,0.0223128
2.3472187e-005,0.00819555
2.3472587e-005,0.0270186
2.3472987e-005,0.0270186
2.3473387e-005,0.0223128
2.3473787e-005,0.0199599
2.3474187e-005,0.0293715
2.3474587e-005,0.0293715
2.3474987e-005,0.0270186
2.3475387e-005,0.0246657
2.3475787e-005,0.0270186
2.3476187e-005,0.0129013
2.3476587e-005,0.0223128
2.3476987e-005,0.0199599
2.3477387e-005,0.0223128
2.3477787e-005,0.0270186
2.3478187e-005,0.0246657
2.3478587e-005,0.0223128
2.3478987e-005,0.0270186
2.3479387e-005,0.0270186
2.3479787e-005,0.0246657
2.3480187e-005,0.0223128
2.3480587e-005,0.0176071
2.3480987e-005,0.0223128
2.3481387e-005,0.0199599
2.3481787e-005,0.0246657
2.3482187e-005,0.0293715
